"Sub-Brand","Sub-Brand"
"Paint and Primer in One","Paint and Primer in One"
"Primer Recommended","Primer Recommended"
"Tint Base","Tint Base"
"Recommended Sprayer Tip Size","Recommended Sprayer Tip Size"
"Recommended Sprayer Pressure","Recommended Sprayer Pressure"
"Flash Point","Flash Point"
"Minimum Working Temperature","Minimum Working Temperature"
"Dry to Re-Coat","Dry to Re-Coat"
"Maximum Working Temperature","Maximum Working Temperature"
"For Use on Decks","For Use on Decks"
"For Use on Fiberglass","For Use on Fiberglass"
"For Use on Porches and Floors","For Use on Porches and Floors"
"For Use on Swimming Pools","For Use on Swimming Pools"
"Kit","Kit"
"Low Odor","Low Odor"
"For Use on Aluminum","For Use on Aluminum"
"For Use on Barn and Fence","For Use on Barn and Fence"
"For Use on Brick","For Use on Brick"
"For Use on Concrete","For Use on Concrete"
"For Use on Doors","For Use on Doors"
"For Use on Garage Doors","For Use on Garage Doors"
"For Use on Masonry","For Use on Masonry"
"For Use on Metal","For Use on Metal"
"For Use on Siding","For Use on Siding"
"For Use on Stone","For Use on Stone"
"For Use on Stucco","For Use on Stucco"
"For Use on Vinyl","For Use on Vinyl"
"For Use on Window Shutters","For Use on Window Shutters"
"For Use on Wood","For Use on Wood"
"Water Resistant","Water Resistant"
"Tintable","Tintable"
"Paint Color Family","Paint Color Family"
"Base Material","Base Material"
"Sheen","Sheen"
"Textured","Textured"
"Enamel","Enamel"
"100 Percent Acrylic","100 Percent Acrylic"
"Dry to Touch","Dry to Touch"
"Container Size","Container Size"
"Actual Net Contents","Actual Net Contents"
"Maximum Coverage Area","Maximum Coverage Area"
"Number of Coats Recommended","Number of Coats Recommended"
"Elastomeric","Elastomeric"
"Scrubbable","Scrubbable"
"Washable","Washable"
"Clean-up Method","Clean-up Method"
"Rust Resistant","Rust Resistant"
"Fade Resistant","Fade Resistant"
"High Heat","High Heat"
"UV Resistant","UV Resistant"
"Mildew Resistant","Mildew Resistant"
"Mold Resistant","Mold Resistant"
"Stain Resistant","Stain Resistant"
"Stain Blocking","Stain Blocking"
"Resists Cracking","Resists Cracking"
"Resists Peeling","Resists Peeling"
"Resists Blistering","Resists Blistering"
"Waterproof","Waterproof"
"Non-Flammable","Non-Flammable"
"Non-Combustible","Non-Combustible"
"Paint and Primer in One","Paint and Primer in One"
"Primer Recommended","Primer Recommended"
"Tint Base","Tint Base"
"Recommended Sprayer Tip Size","Recommended Sprayer Tip Size"
"Recommended Sprayer Pressure","Recommended Sprayer Pressure"
"Flash Point","Flash Point"
"Dry to Re-Coat","Dry to Re-Coat"
"Minimum Working Temperature","Minimum Working Temperature"
"Maximum Working Temperature","Maximum Working Temperature"
"For Use on Barn and Fence","For Use on Barn and Fence"
"For Use on Decks","For Use on Decks"
"For Use on Fiberglass","For Use on Fiberglass"
"For Use on Porches and Floors","For Use on Porches and Floors"
"For Use on Swimming Pools","For Use on Swimming Pools"
"Kit","Kit"
